Location,Batch_no,Tin_no,Sample_ID,Lab_dupe,Collection_date,TSS_Analysis_date,Dirty_weight_date,volume_mL,clean_dry_mass_g,dirty_dry_mass_1-g,dirty_dry_mass_2_g,sediment_mass_mg,TSS_mg/L,pH,EC_mS/cm,pH_EC_datetime,Sample_type,Lab_technicians,Out_of_Hold_Time,BAD_GOOD,Notes,,,,
,9,18,MOL-01-IN-LC-4,,6/15/2023,6/21/2023,6/25/2023,30,1.2016,1.2027,,1.1,36.66666667,8.09,0.213,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,9,19,MOL-01-IN-LC-4-D,,6/15/2023,6/21/2023,6/25/2023,30,1.1995,1.2009,,1.4,46.66666667,8.02,0.212,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,9,20,MOL-01-OT-ISC-4,,6/15/2023,6/21/2023,6/25/2023,30,1.1968,1.1976,,0.8,26.66666667,8.13,0.502,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,9,21,MOL-01-OT-ISC-4-D,,6/15/2023,6/21/2023,6/25/2023,30,1.2085,1.2091,,0.6,20,8.14,0.486,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,9,22,Stock Solution,,6/21/2023,6/21/2023,6/25/2023,30,1.2203,1.2233,,3,100,,,,,Person A,FALSE,Good,,,,,
,9,23,DI,,6/21/2023,6/21/2023,6/25/2023,30,1.2176,1.2175,,-0.1,-3.333333333,,,,,Person A,FALSE,,,,,,
,9,24,AV-CT1-01-OT-LC-4,,6/15/2023,6/21/2023,6/25/2023,30,1.2137,1.2792,,65.5,2183.333333,7.8,0.713,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,9,25,AV-CT1-01-OT-LC-4-D,,6/15/2023,6/21/2023,6/25/2023,30,1.2045,1.2682,,63.7,2123.333333,7.79,0.723,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,9,26,AV-ST1-01-OT-LC-4,,6/15/2023,6/21/2023,6/25/2023,30,1.1965,1.2682,,71.7,2390,7.88,0.802,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,9,27,AV-ST1-01-OT-LC-4-D,,6/15/2023,6/21/2023,6/25/2023,30,1.2093,1.2801,,70.8,2360,7.94,0.804,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,9,28,AV-ST2-01-OT-LC-4,,6/15/2023,6/21/2023,6/25/2023,30,1.1999,1.2384,,38.5,1283.333333,8.05,0.762,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,9,29,AV-ST2-01-OT-LC-4-D,,6/15/2023,6/21/2023,6/25/2023,30,1.2185,1.2606,,42.1,1403.333333,8.01,0.748,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,10,61,Stock Solution,,6/21/2023,6/21/2023,6/25/2023,30,1.2142,1.2171,,2.9,96.66666667,,,,,Person A,FALSE,Good,,,,,
,10,62,DI,,6/21/2023,6/21/2023,6/25/2023,30,1.2175,1.2176,,0.1,3.333333333,,,,,Person A,FALSE,,,,,,
,10,63,AV-CT2-01-OT-LC-4,,6/15/2023,6/21/2023,6/25/2023,30,1.2142,1.2566,,42.4,1413.333333,8.06,0.756,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
